,,,,,,,,,
"Прайс Promodelsport",,,,,,,,,
,,,,,,,,,
"Вид номенклатуры",,,"Производитель","Артикул ",,"Номенклатура","Цена: Дилер (USD)","Цена: Опт (USD)","Цена: Розница (UAH)"
"Автомобили",,,"Traxxas","55077-1 Red",,"Автомобиль Traxxas Jato 3,3 Nitro Stadium Truck 1:10 RTR 420 мм 2WD 2,4 ГГц (55077-1 Red)","400,00","420,00","14 190,00"
"Автомобили",,,"Traxxas","55077-1 Yellow",,"Автомобиль Traxxas Jato 3,3 Nitro Stadium Truck 1:10 RTR 420 мм 2WD 2,4 ГГц (55077-1 Yellow)","400,00","420,00","14 190,00"
"Автомобили",,,"Traxxas","76044-1 Blue",,"Автомобиль Traxxas LaTrax SST Short Course Truck 1:18 RTR 309 мм 4WD 2,4 ГГц (76044-1 Blue)","145,00","160,00","5 090,00"
"Автомобили",,,"Traxxas","76044-1 Red",,"Автомобиль Traxxas LaTrax SST Short Course Truck 1:18 RTR 309 мм 4WD 2,4 ГГц (76044-1 Red)","145,00","160,00","5 090,00"
"Автомобили",,,"Traxxas","76054-1 Blue",,"Автомобиль Traxxas LaTrax Teton Monster 1:18 RTR 258 мм 4WD 2,4 ГГц (76054-1 Blue)","145,00","160,00","5 090,00"
"Автомобили",,,"Traxxas","76054-1 Green",,"Автомобиль Traxxas LaTrax Teton Monster 1:18 RTR 258 мм 4WD 2,4 ГГц (76054-1 Green)","145,00","160,00","5 090,00"
"Автомобили",,,"Traxxas","76054-1 Orange",,"Автомобиль Traxxas LaTrax Teton Monster 1:18 RTR 258 мм 4WD 2,4 ГГц (76054-1 Orange)","145,00","160,00","5 090,00"
"Автомобили",,,"Traxxas","45104-1 Blue",,"Автомобиль Traxxas Nitro Sport Stadium Truck 1:10 RTR 438 мм 2WD 2,4 ГГц (45104-1 Blue)","285,00","310,00","10 090,00"
"Автомобили",,,"Traxxas","45104-1 Red",,"Автомобиль Traxxas Nitro Sport Stadium Truck 1:10 RTR 438 мм 2WD 2,4 ГГц (45104-1 Red)","285,00","310,00","10 090,00"
"Автомобили",,,"Traxxas","45104-1 White",,"Автомобиль Traxxas Nitro Sport Stadium Truck 1:10 RTR 438 мм 2WD 2,4 ГГц (45104-1 White)","285,00","310,00","10 090,00"
"Автомобили",,,"Traxxas","74076-3 Blue",,"Автомобиль Traxxas Rally Racer VXL Brushless 1:10 RTR 552 мм 4WD TSM 2,4 ГГц (74076-3 Blue)","430,00","470,00","13 990,00"
"Автомобили",,,"Traxxas","74076-3 Green",,"Автомобиль Traxxas Rally Racer VXL Brushless 1:10 RTR 552 мм 4WD TSM 2,4 ГГц (74076-3 Green)","430,00","470,00","13 990,00"
"Автомобили",,,"Traxxas","74076-3 Orange",,"Автомобиль Traxxas Rally Racer VXL Brushless 1:10 RTR 552 мм 4WD TSM 2,4 ГГц (74076-3 Orange)","430,00","470,00","13 990,00"
"Автомобили",,,"Traxxas","74076-3 Red",,"Автомобиль Traxxas Rally Racer VXL Brushless 1:10 RTR 552 мм 4WD TSM 2,4 ГГц (74076-3 Red)","430,00","470,00","13 990,00"
